STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
        853;2022010100:11;    1;   -999;    0.0;    0.0;   0;   151.62;2022010101:00;eor
        853;2022010101:11;    1;   -999;    0.0;    0.0;   0;   147.19;2022010102:00;eor
        853;2022010102:11;    1;   -999;    0.0;    0.0;   0;   139.86;2022010103:00;eor
        853;2022010103:11;    1;   -999;    0.0;    0.0;   0;   131.08;2022010104:00;eor
        853;2022010104:11;    1;   -999;    0.0;    0.0;   0;   121.70;2022010105:00;eor
        853;2022010105:11;    1;   -999;    0.0;    0.0;   0;   112.26;2022010106:00;eor
        853;2022010106:11;    1;   -999;    0.0;    0.0;   0;   103.11;2022010107:00;eor
        853;2022010107:11;    1;   -999;    0.0;    0.0;   0;    94.59;2022010108:00;eor
        853;2022010108:12;    1;   -999;    4.0;    4.0;   0;    87.04;2022010109:00;eor
        853;2022010109:12;    1;   -999;   12.0;   12.0;   0;    80.85;2022010110:00;eor
        853;2022010110:12;    1;   -999;   17.0;   17.0;   0;    76.40;2022010111:00;eor
        853;2022010111:12;    1;   -999;   28.0;   28.0;   0;    74.07;2022010112:00;eor
        853;2022010112:12;    1;   -999;   24.0;   24.0;   0;    74.07;2022010113:00;eor
        853;2022010113:12;    1;   -999;   24.0;   24.0;   0;    76.39;2022010114:00;eor
        853;2022010114:12;    1;   -999;   15.0;   15.0;   0;    80.83;2022010115:00;eor
        853;2022010115:12;    1;   -999;    8.0;    9.0;   0;    87.02;2022010116:00;eor
        853;2022010116:12;    1;   -999;    0.0;    0.0;   0;    94.56;2022010117:00;eor
        853;2022010117:12;    1;   -999;    0.0;    0.0;   0;   103.08;2022010118:00;eor
        853;2022010118:12;    1;   -999;    0.0;    0.0;   0;   112.22;2022010119:00;eor
        853;2022010119:12;    1;   -999;    0.0;    0.0;   0;   121.67;2022010120:00;eor
        853;2022010120:12;    1;   -999;    0.0;    0.0;   0;   131.04;2022010121:00;eor
        853;2022010121:12;    1;   -999;    0.0;    0.0;   0;   139.81;2022010122:00;eor
        853;2022010122:12;    1;   -999;    0.0;    0.0;   0;   147.13;2022010123:00;eor
        853;2022010123:12;    1;   -999;    0.0;    0.0;   0;   151.54;2022010200:00;eor
        853;2022010200:12;    1;   -999;    0.0;    0.0;   0;   151.54;2022010201:00;eor
        853;2022010201:12;    1;   -999;    0.0;    0.0;   0;   147.12;2022010202:00;eor
        853;2022010202:12;    1;   -999;    0.0;    0.0;   0;   139.80;2022010203:00;eor
        853;2022010203:12;    1;   -999;    0.0;    0.0;   0;   131.01;2022010204:00;eor
        853;2022010204:12;    1;   -999;    0.0;    0.0;   0;   121.64;2022010205:00;eor
        853;2022010205:12;    1;   -999;    0.0;    0.0;   0;   112.19;2022010206:00;eor
        853;2022010206:12;    1;   -999;    0.0;    0.0;   0;   103.04;2022010207:00;eor
        853;2022010207:12;    1;   -999;    0.0;    0.0;   0;    94.52;2022010208:00;eor
        853;2022010208:12;    1;   -999;    8.0;    8.0;   0;    86.97;2022010209:00;eor
        853;2022010209:12;    1;   -999;   20.0;   20.0;   0;    80.77;2022010210:00;eor
        853;2022010210:12;    1;   -999;   39.0;   40.0;   0;    76.32;2022010211:00;eor
        853;2022010211:12;    1;   -999;   34.0;   35.0;   3;    73.98;2022010212:00;eor
        853;2022010212:12;    1;   -999;   19.0;   19.0;   0;    73.98;2022010213:00;eor
        853;2022010213:12;    1;   -999;   18.0;   18.0;   0;    76.31;2022010214:00;eor
        853;2022010214:12;    1;   -999;   10.0;   10.0;   0;    80.75;2022010215:00;eor
        853;2022010215:12;    1;   -999;    5.0;    6.0;   7;    86.95;2022010216:00;eor
        853;2022010216:12;    1;   -999;    0.0;    0.0;   0;    94.49;2022010217:00;eor
        853;2022010217:12;    1;   -999;    0.0;    0.0;   0;   103.01;2022010218:00;eor
        853;2022010218:12;    1;   -999;    0.0;    0.0;   0;   112.16;2022010219:00;eor
        853;2022010219:12;    1;   -999;    0.0;    0.0;   0;   121.60;2022010220:00;eor
        853;2022010220:12;    1;   -999;    0.0;    0.0;   0;   130.97;2022010221:00;eor
        853;2022010221:12;    1;   -999;    0.0;    0.0;   0;   139.74;2022010222:00;eor
        853;2022010222:12;    1;   -999;    0.0;    0.0;   0;   147.05;2022010223:00;eor
        853;2022010223:12;    1;   -999;    0.0;    0.0;   0;   151.45;2022010300:00;eor
        853;2022010300:12;    1;   -999;    0.0;    0.0;   0;   151.45;2022010301:00;eor
        853;2022010301:12;    1;   -999;    0.0;    0.0;   0;   147.03;2022010302:00;eor
        853;2022010302:12;    1;   -999;    0.0;    0.0;   0;   139.72;2022010303:00;eor
        853;2022010303:12;    1;   -999;    0.0;    0.0;   0;   130.94;2022010304:00;eor
        853;2022010304:12;    1;   -999;    0.0;    0.0;   0;   121.57;2022010305:00;eor
        853;2022010305:12;    1;   -999;    0.0;    0.0;   0;   112.12;2022010306:00;eor
        853;2022010306:12;    1;   -999;    0.0;    0.0;   0;   102.97;2022010307:00;eor
        853;2022010307:12;    1;   -999;    0.0;    0.0;   0;    94.44;2022010308:00;eor
        853;2022010308:12;    1;   -999;    9.0;   12.0;  13;    86.89;2022010309:00;eor
        853;2022010309:12;    1;   -999;   18.0;   46.0;  39;    80.68;2022010310:00;eor
        853;2022010310:12;    1;   -999;   32.0;   44.0;  25;    76.23;2022010311:00;eor
        853;2022010311:12;    1;   -999;   29.0;   77.0;  28;    73.89;2022010312:00;eor
        853;2022010312:13;    1;   -999;   48.0;   63.0;  36;    73.88;2022010313:00;eor
        853;2022010313:13;    1;   -999;   28.0;   28.0;   2;    76.22;2022010314:00;eor
        853;2022010314:13;    1;   -999;   18.0;   18.0;   1;    80.66;2022010315:00;eor
        853;2022010315:13;    1;   -999;    5.0;    5.0;   0;    86.86;2022010316:00;eor
        853;2022010316:13;    1;   -999;    0.0;    0.0;   0;    94.41;2022010317:00;eor
        853;2022010317:13;    1;   -999;    0.0;    0.0;   0;   102.94;2022010318:00;eor
        853;2022010318:13;    1;   -999;    0.0;    0.0;   0;   112.09;2022010319:00;eor
        853;2022010319:13;    1;   -999;    0.0;    0.0;   0;   121.53;2022010320:00;eor
        853;2022010320:13;    1;   -999;    0.0;    0.0;   0;   130.89;2022010321:00;eor
        853;2022010321:13;    1;   -999;    0.0;    0.0;   0;   139.66;2022010322:00;eor
        853;2022010322:13;    1;   -999;    0.0;    0.0;   0;   146.96;2022010323:00;eor
        853;2022010323:13;    1;   -999;    0.0;    0.0;   0;   151.36;2022010400:00;eor
        853;2022010400:13;    1;   -999;    0.0;    0.0;   0;   151.35;2022010401:00;eor
        853;2022010401:13;    1;   -999;    0.0;    0.0;   0;   146.94;2022010402:00;eor
        853;2022010402:13;    1;   -999;    0.0;    0.0;   0;   139.64;2022010403:00;eor
        853;2022010403:13;    1;   -999;    0.0;    0.0;   0;   130.87;2022010404:00;eor
        853;2022010404:13;    1;   -999;    0.0;    0.0;   0;   121.50;2022010405:00;eor
        853;2022010405:13;    1;   -999;    0.0;    0.0;   0;   112.05;2022010406:00;eor
        853;2022010406:13;    1;   -999;    0.0;    0.0;   0;   102.89;2022010407:00;eor
        853;2022010407:13;    1;   -999;    0.0;    0.0;   0;    94.36;2022010408:00;eor
        853;2022010408:13;    1;   -999;    1.0;    2.0;   0;    86.80;2022010409:00;eor
        853;2022010409:13;    1;   -999;    8.0;    8.0;   0;    80.59;2022010410:00;eor
        853;2022010410:13;    1;   -999;   15.0;   15.0;   0;    76.13;2022010411:00;eor
        853;2022010411:13;    1;   -999;   17.0;   17.0;   0;    73.79;2022010412:00;eor
        853;2022010412:13;    1;   -999;   12.0;   13.0;   0;    73.78;2022010413:00;eor
        853;2022010413:13;    1;   -999;    7.0;    8.0;   0;    76.11;2022010414:00;eor
        853;2022010414:13;    1;   -999;    5.0;    6.0;   0;    80.57;2022010415:00;eor
        853;2022010415:13;    1;   -999;    2.0;    3.0;   0;    86.77;2022010416:00;eor
        853;2022010416:13;    1;   -999;    0.0;    0.0;   0;    94.33;2022010417:00;eor
        853;2022010417:13;    1;   -999;    0.0;    0.0;   0;   102.86;2022010418:00;eor
        853;2022010418:13;    1;   -999;    0.0;    0.0;   0;   112.01;2022010419:00;eor
        853;2022010419:13;    1;   -999;    0.0;    0.0;   0;   121.45;2022010420:00;eor
        853;2022010420:13;    1;   -999;    0.0;    0.0;   0;   130.81;2022010421:00;eor
        853;2022010421:13;    1;   -999;    0.0;    0.0;   0;   139.57;2022010422:00;eor
        853;2022010422:13;    1;   -999;    0.0;    0.0;   0;   146.86;2022010423:00;eor
        853;2022010423:13;    1;   -999;    0.0;    0.0;   0;   151.25;2022010500:00;eor
        853;2022010500:13;    1;   -999;    0.0;    0.0;   0;   151.25;2022010501:00;eor
        853;2022010501:13;    1;   -999;    0.0;    0.0;   0;   146.85;2022010502:00;eor
        853;2022010502:13;    1;   -999;    0.0;    0.0;   0;   139.55;2022010503:00;eor
        853;2022010503:13;    1;   -999;    0.0;    0.0;   0;   130.79;2022010504:00;eor
        853;2022010504:13;    1;   -999;    0.0;    0.0;   0;   121.42;2022010505:00;eor
        853;2022010505:13;    1;   -999;    0.0;    0.0;   0;   111.97;2022010506:00;eor
        853;2022010506:13;    1;   -999;    0.0;    0.0;   0;   102.81;2022010507:00;eor
        853;2022010507:13;    1;   -999;    0.0;    0.0;   0;    94.27;2022010508:00;eor
        853;2022010508:13;    1;   -999;    3.0;    3.0;   0;    86.70;2022010509:00;eor
        853;2022010509:13;    1;   -999;    7.0;    7.0;   0;    80.48;2022010510:00;eor
        853;2022010510:13;    1;   -999;   31.0;   40.0;   3;    76.02;2022010511:00;eor
        853;2022010511:13;    1;   -999;   28.0;   88.0;  52;    73.68;2022010512:00;eor
        853;2022010512:13;    1;   -999;   37.0;   65.0;  36;    73.67;2022010513:00;eor
        853;2022010513:13;    1;   -999;   39.0;   40.0;   3;    76.01;2022010514:00;eor
        853;2022010514:13;    1;   -999;   17.0;   19.0;   4;    80.46;2022010515:00;eor
        853;2022010515:13;    1;   -999;    4.0;    4.0;   0;    86.68;2022010516:00;eor
        853;2022010516:13;    1;   -999;    0.0;    0.0;   0;    94.24;2022010517:00;eor
        853;2022010517:14;    1;   -999;    0.0;    0.0;   0;   102.77;2022010518:00;eor
        853;2022010518:14;    1;   -999;    0.0;    0.0;   0;   111.92;2022010519:00;eor
        853;2022010519:14;    1;   -999;    0.0;    0.0;   0;   121.37;2022010520:00;eor
        853;2022010520:14;    1;   -999;    0.0;    0.0;   0;   130.73;2022010521:00;eor
        853;2022010521:14;    1;   -999;    0.0;    0.0;   0;   139.48;2022010522:00;eor
        853;2022010522:14;    1;   -999;    0.0;    0.0;   0;   146.76;2022010523:00;eor
        853;2022010523:14;    1;   -999;    0.0;    0.0;   0;   151.14;2022010600:00;eor
        853;2022010600:14;    1;   -999;    0.0;    0.0;   0;   151.13;2022010601:00;eor
        853;2022010601:14;    1;   -999;    0.0;    0.0;   0;   146.74;2022010602:00;eor
        853;2022010602:14;    1;   -999;    0.0;    0.0;   0;   139.46;2022010603:00;eor
        853;2022010603:14;    1;   -999;    0.0;    0.0;   0;   130.70;2022010604:00;eor
        853;2022010604:14;    1;   -999;    0.0;    0.0;   0;   121.33;2022010605:00;eor
        853;2022010605:14;    1;   -999;    0.0;    0.0;   0;   111.88;2022010606:00;eor
        853;2022010606:14;    1;   -999;    0.0;    0.0;   0;   102.72;2022010607:00;eor
        853;2022010607:14;    1;   -999;    0.0;    0.0;   0;    94.18;2022010608:00;eor
        853;2022010608:14;    1;   -999;    7.0;    9.0;   7;    86.60;2022010609:00;eor
        853;2022010609:14;    1;   -999;   25.0;   26.0;   2;    80.38;2022010610:00;eor
        853;2022010610:14;    1;   -999;   45.0;   48.0;   2;    75.91;2022010611:00;eor
        853;2022010611:14;    1;   -999;   37.0;  113.0;  53;    73.56;2022010612:00;eor
        853;2022010612:14;    1;   -999;   51.0;   58.0;  19;    73.55;2022010613:00;eor
        853;2022010613:14;    1;   -999;   22.0;   87.0;  50;    75.89;2022010614:00;eor
        853;2022010614:14;    1;   -999;   16.0;   56.0;  60;    80.35;2022010615:00;eor
        853;2022010615:14;    1;   -999;    9.0;   19.0;  60;    86.57;2022010616:00;eor
        853;2022010616:14;    1;   -999;    0.0;    0.0;   0;    94.14;2022010617:00;eor
        853;2022010617:14;    1;   -999;    0.0;    0.0;   0;   102.68;2022010618:00;eor
        853;2022010618:14;    1;   -999;    0.0;    0.0;   0;   111.84;2022010619:00;eor
        853;2022010619:14;    1;   -999;    0.0;    0.0;   0;   121.28;2022010620:00;eor
        853;2022010620:14;    1;   -999;    0.0;    0.0;   0;   130.64;2022010621:00;eor
        853;2022010621:14;    1;   -999;    0.0;    0.0;   0;   139.38;2022010622:00;eor
        853;2022010622:14;    1;   -999;    0.0;    0.0;   0;   146.65;2022010623:00;eor
        853;2022010623:14;    1;   -999;    0.0;    0.0;   0;   151.02;2022010700:00;eor
        853;2022010700:14;    1;   -999;    0.0;    0.0;   0;   151.01;2022010701:00;eor
        853;2022010701:14;    1;   -999;    0.0;    0.0;   0;   146.64;2022010702:00;eor
        853;2022010702:14;    1;   -999;    0.0;    0.0;   0;   139.36;2022010703:00;eor
        853;2022010703:14;    1;   -999;    0.0;    0.0;   0;   130.61;2022010704:00;eor
        853;2022010704:14;    1;   -999;    0.0;    0.0;   0;   121.25;2022010705:00;eor
        853;2022010705:14;    1;   -999;    0.0;    0.0;   0;   111.79;2022010706:00;eor
        853;2022010706:14;    1;   -999;    0.0;    0.0;   0;   102.63;2022010707:00;eor
        853;2022010707:14;    1;   -999;    0.0;    0.0;   0;    94.08;2022010708:00;eor
        853;2022010708:14;    1;   -999;   11.0;   12.0;   0;    86.49;2022010709:00;eor
        853;2022010709:14;    1;   -999;   28.0;   32.0;  13;    80.26;2022010710:00;eor
        853;2022010710:14;    1;   -999;   41.0;   41.0;   0;    75.79;2022010711:00;eor
        853;2022010711:14;    1;   -999;   54.0;   61.0;  12;    73.43;2022010712:00;eor
        853;2022010712:14;    1;   -999;   51.0;   55.0;  13;    73.43;2022010713:00;eor
        853;2022010713:14;    1;   -999;   31.0;   31.0;   1;    75.77;2022010714:00;eor
        853;2022010714:14;    1;   -999;   19.0;   19.0;   0;    80.24;2022010715:00;eor
        853;2022010715:14;    1;   -999;    4.0;    4.0;   0;    86.46;2022010716:00;eor
        853;2022010716:14;    1;   -999;    0.0;    0.0;   0;    94.04;2022010717:00;eor
        853;2022010717:14;    1;   -999;    0.0;    0.0;   0;   102.58;2022010718:00;eor
        853;2022010718:14;    1;   -999;    0.0;    0.0;   0;   111.74;2022010719:00;eor
        853;2022010719:14;    1;   -999;    0.0;    0.0;   0;   121.19;2022010720:00;eor
        853;2022010720:14;    1;   -999;    0.0;    0.0;   0;   130.54;2022010721:00;eor
        853;2022010721:14;    1;   -999;    0.0;    0.0;   0;   139.28;2022010722:00;eor
        853;2022010722:14;    1;   -999;    0.0;    0.0;   0;   146.53;2022010723:00;eor
        853;2022010723:14;    1;   -999;    0.0;    0.0;   0;   150.89;2022010800:00;eor
        853;2022010800:15;    1;   -999;    0.0;    0.0;   0;   150.89;2022010801:00;eor
        853;2022010801:15;    1;   -999;    0.0;    0.0;   0;   146.52;2022010802:00;eor
        853;2022010802:15;    1;   -999;    0.0;    0.0;   0;   139.26;2022010803:00;eor
        853;2022010803:15;    1;   -999;    0.0;    0.0;   0;   130.51;2022010804:00;eor
        853;2022010804:15;    1;   -999;    0.0;    0.0;   0;   121.15;2022010805:00;eor
        853;2022010805:15;    1;   -999;    0.0;    0.0;   0;   111.70;2022010806:00;eor
        853;2022010806:15;    1;   -999;    0.0;    0.0;   0;   102.52;2022010807:00;eor
        853;2022010807:15;    1;   -999;    0.0;    0.0;   0;    93.97;2022010808:00;eor
        853;2022010808:15;    1;   -999;    6.0;    6.0;   0;    86.38;2022010809:00;eor
        853;2022010809:15;    1;   -999;   14.0;   14.0;   0;    80.14;2022010810:00;eor
        853;2022010810:15;    1;   -999;   19.0;   20.0;   0;    75.66;2022010811:00;eor
        853;2022010811:15;    1;   -999;   30.0;   30.0;   0;    73.30;2022010812:00;eor
        853;2022010812:15;    1;   -999;   41.0;   41.0;   0;    73.29;2022010813:00;eor
        853;2022010813:15;    1;   -999;   35.0;   35.0;   0;    75.64;2022010814:00;eor
        853;2022010814:15;    1;   -999;   27.0;   28.0;   0;    80.11;2022010815:00;eor
        853;2022010815:15;    1;   -999;   10.0;   11.0;   0;    86.35;2022010816:00;eor
        853;2022010816:15;    1;   -999;    0.0;    0.0;   0;    93.93;2022010817:00;eor
        853;2022010817:15;    1;   -999;    0.0;    0.0;   0;   102.48;2022010818:00;eor
        853;2022010818:15;    1;   -999;    0.0;    0.0;   0;   111.64;2022010819:00;eor
        853;2022010819:15;    1;   -999;    0.0;    0.0;   0;   121.09;2022010820:00;eor
        853;2022010820:15;    1;   -999;    0.0;    0.0;   0;   130.44;2022010821:00;eor
        853;2022010821:15;    1;   -999;    0.0;    0.0;   0;   139.17;2022010822:00;eor
        853;2022010822:15;    1;   -999;    0.0;    0.0;   0;   146.41;2022010823:00;eor
        853;2022010823:15;    1;   -999;    0.0;    0.0;   0;   150.76;2022010900:00;eor
        853;2022010900:15;    1;   -999;    0.0;    0.0;   0;   150.75;2022010901:00;eor
        853;2022010901:15;    1;   -999;    0.0;    0.0;   0;   146.40;2022010902:00;eor
        853;2022010902:15;    1;   -999;    0.0;    0.0;   0;   139.15;2022010903:00;eor
        853;2022010903:15;    1;   -999;    0.0;    0.0;   0;   130.41;2022010904:00;eor
        853;2022010904:15;    1;   -999;    0.0;    0.0;   0;   121.05;2022010905:00;eor
        853;2022010905:15;    1;   -999;    0.0;    0.0;   0;   111.59;2022010906:00;eor
        853;2022010906:15;    1;   -999;    0.0;    0.0;   0;   102.42;2022010907:00;eor
        853;2022010907:15;    1;   -999;    0.0;    0.0;   0;    93.86;2022010908:00;eor
        853;2022010908:15;    1;   -999;   11.0;   11.0;   0;    86.26;2022010909:00;eor
        853;2022010909:15;    1;   -999;   36.0;   42.0;   6;    80.01;2022010910:00;eor
        853;2022010910:15;    1;   -999;   60.0;   84.0;  37;    75.52;2022010911:00;eor
        853;2022010911:15;    1;   -999;   56.0;   61.0;  17;    73.16;2022010912:00;eor
        853;2022010912:15;    1;   -999;   27.0;   27.0;   0;    73.16;2022010913:00;eor
        853;2022010913:15;    1;   -999;   20.0;   20.0;   0;    75.51;2022010914:00;eor
        853;2022010914:15;    1;   -999;   12.0;   12.0;   0;    79.98;2022010915:00;eor
        853;2022010915:15;    1;   -999;    2.0;    2.0;   0;    86.22;2022010916:00;eor
        853;2022010916:15;    1;   -999;    0.0;    0.0;   0;    93.81;2022010917:00;eor
        853;2022010917:15;    1;   -999;    0.0;    0.0;   0;   102.37;2022010918:00;eor
        853;2022010918:15;    1;   -999;    0.0;    0.0;   0;   111.54;2022010919:00;eor
        853;2022010919:15;    1;   -999;    0.0;    0.0;   0;   120.98;2022010920:00;eor
        853;2022010920:15;    1;   -999;    0.0;    0.0;   0;   130.33;2022010921:00;eor
        853;2022010921:15;    1;   -999;    0.0;    0.0;   0;   139.06;2022010922:00;eor
        853;2022010922:15;    1;   -999;    0.0;    0.0;   0;   146.28;2022010923:00;eor
        853;2022010923:15;    1;   -999;    0.0;    0.0;   0;   150.61;2022011000:00;eor
        853;2022011000:15;    1;   -999;    0.0;    0.0;   0;   150.61;2022011001:00;eor
        853;2022011001:15;    1;   -999;    0.0;    0.0;   0;   146.27;2022011002:00;eor
        853;2022011002:15;    1;   -999;    0.0;    0.0;   0;   139.03;2022011003:00;eor
        853;2022011003:15;    1;   -999;    0.0;    0.0;   0;   130.30;2022011004:00;eor
        853;2022011004:15;    1;   -999;    0.0;    0.0;   0;   120.94;2022011005:00;eor
        853;2022011005:15;    1;   -999;    0.0;    0.0;   0;   111.49;2022011006:00;eor
        853;2022011006:15;    1;   -999;    0.0;    0.0;   0;   102.31;2022011007:00;eor
        853;2022011007:15;    1;   -999;    0.0;    0.0;   0;    93.74;2022011008:00;eor
        853;2022011008:15;    1;   -999;    4.0;    5.0;   0;    86.13;2022011009:00;eor
        853;2022011009:15;    1;   -999;   13.0;   13.0;   0;    79.88;2022011010:00;eor
        853;2022011010:16;    1;   -999;   26.0;   26.0;   0;    75.38;2022011011:00;eor
        853;2022011011:16;    1;   -999;   38.0;   38.0;   0;    73.01;2022011012:00;eor
        853;2022011012:16;    1;   -999;   26.0;   26.0;   0;    73.01;2022011013:00;eor
        853;2022011013:16;    1;   -999;   18.0;   18.0;   0;    75.36;2022011014:00;eor
        853;2022011014:16;    1;   -999;   19.0;   19.0;   0;    79.85;2022011015:00;eor
        853;2022011015:16;    1;   -999;    4.0;    4.0;   0;    86.10;2022011016:00;eor
        853;2022011016:16;    1;   -999;    0.0;    0.0;   0;    93.70;2022011017:00;eor
        853;2022011017:16;    1;   -999;    0.0;    0.0;   0;   102.26;2022011018:00;eor
        853;2022011018:16;    1;   -999;    0.0;    0.0;   0;   111.43;2022011019:00;eor
        853;2022011019:16;    1;   -999;    0.0;    0.0;   0;   120.88;2022011020:00;eor
        853;2022011020:16;    1;   -999;    0.0;    0.0;   0;   130.22;2022011021:00;eor
